55,547,844 (100.0%)  PROGRAM TOTALS
    90,240 ( 0.16%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/utils.rs:<quick_xml::reader::state::ReaderState>::emit_start
    88,800 ( 0.16%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/cmp.rs:<core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
    87,000 ( 0.16%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/events/attributes.rs:<quick_xml::events::attributes::Attribute>::decoded_and_normalized_value_with::<quick_xml::escape::resolve_predefined_entity> [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
    86,640 ( 0.16%)  /home/zhuhe/code/litchi-worktrees/before-08d968f8e/crates/soapberry-zip/src/archive.rs:<soapberry_zip::office::IndexedArchive<litchi_opc::source_backed::SourceReader>>::from_reader_with_limits_and_policy
    84,040 ( 0.15%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/memchr-2.8.3/src/arch/x86_64/memchr.rs:memchr::arch::x86_64::memchr::memchr3_raw::find_avx2 [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
    82,320 ( 0.15%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/parser/element.rs:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()>
    81,978 ( 0.15%)  ./malloc/./malloc/malloc.c:_int_realloc [/usr/lib/x86_64-linux-gnu/libc.so.6]
    81,000 ( 0.15%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/slice/iter/macros.rs:<litchi_opc::packuri::PackURI>::new::<alloc::string::String>
    80,360 ( 0.14%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/reader/mod.rs:<quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()> [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
    80,040 ( 0.14%)  /rustc/48a229ceaefd4985c50990b14116b6d856af0985/library/alloc/src/raw_vec/mod.rs:<alloc::string::String>::try_reserve
