container	before_requests	after_requests	before_bytes	after_bytes	before_versions	after_versions
test-data/libreoffice-core/writerperfect/qa/unit/data/writer/epubexport/simple-ruby.odt	3	3	1193	1193	4	4
test-data/libreoffice-core/xmloff/qa/unit/data/tdf156707_text_form_control_borders.odt	3	3	1193	1193	4	4
test-data/libreoffice-core/xmloff/qa/unit/data/tdf167358_label_form_control_borders.odt	3	3	604	604	4	4
test-data/libreoffice-core/xmlsecurity/doc/OpenDocumentSignatures-Workflow.odg	3	3	1135	1135	4	4
test-data/libreoffice-core/xmlsecurity/qa/unit/signing/data/macro.odt	3	3	1404	1404	4	4
test-data/libreoffice-core/xmlsecurity/qa/unit/signing/data/odb_signed_macros.odb	3	3	941	941	4	4
test-data/libreoffice-core/xmlsecurity/qa/unit/signing/data/signed_with_x509certificate_chain.odt	3	3	1294	1294	4	4
test-data/odf/corpus/calc-cell-styles.ods	3	3	1193	1193	4	4
test-data/odf/corpus/calc-formulas.ods	3	3	1074	1074	4	4
test-data/odf/corpus/calc-two-sheets.ods	3	3	1193	1193	4	4
test-data/odf/corpus/calc-unicode-chinese.ods	3	3	1204	1204	4	4
test-data/odf/corpus/impress-basic.odp	3	3	989	989	4	4
test-data/odf/corpus/impress-embedded-spreadsheet.odp	3	3	2007	2007	4	4
test-data/odf/corpus/impress-master-layouts.odp	3	3	1144	1144	4	4
test-data/odf/corpus/writer-definition-lists.odt	3	3	1074	1074	4	4
test-data/odf/corpus/writer-header-footer.odt	3	3	1074	1074	4	4
test-data/odf/corpus/writer-images-frames.odt	3	3	1529	1529	4	4
test-data/odf/corpus/writer-minimal-nasty.odt	3	3	380	380	4	4
test-data/odf/corpus/writer-paragraph-styles.odt	3	3	1098	1098	4	4
test-data/odf/corpus/writer-table-of-contents.odt	3	3	1204	1204	4	4
test-data/odf/corpus/writer-table.odt	3	3	1074	1074	4	4
test-data/odf/corpus/writer-user-fields.odt	3	3	1144	1144	4	4
test-data/odf/native-resave/libreoffice-resaved/calc-two-sheets-litchi.ods	3	3	604	604	4	4
test-data/odf/native-resave/libreoffice-resaved/font-styles-litchi.odf	3	3	490	490	4	4
test-data/odf/native-resave/libreoffice-resaved/rhbz1870501-litchi.odg	3	3	1206	1206	4	4
test-data/odf/native-resave/libreoffice-resaved/tdf169979-litchi.odp	3	3	632	632	4	4
test-data/odf/native-resave/libreoffice-resaved/writer-header-footer-litchi.odt	3	3	627	627	4	4
test-data/odf/native-resave/litchi-changed/calc-two-sheets-litchi.ods	3	3	542	542	4	4
test-data/odf/native-resave/litchi-changed/font-styles-litchi.odf	3	3	428	428	4	4
test-data/odf/native-resave/litchi-changed/rhbz1870501-litchi.odg	3	3	1262	1262	4	4
test-data/odf/native-resave/litchi-changed/tdf169979-litchi.odp	3	3	562	562	4	4
test-data/odf/native-resave/litchi-changed/writer-header-footer-litchi.odt	3	3	569	569	4	4
test-data/odf/native-resave/source/font-styles.odf	3	3	1079	1079	4	4
test-data/odf/native-resave/source/rhbz1870501.odg	3	3	2907	2907	4	4
test-data/odf/odc-producer-evidence/odfdom-created.odc	3	3	355	355	4	4
test-data/odf/odc-producer-evidence/odfdom-resaved.odc	3	3	355	355	4	4
test-data/odf/odp/cellspan.odp	3	3	1218	1218	4	4
test-data/odf/odp/tdf102223.odp	3	3	1207	1207	4	4
test-data/odf/odp/tdf105502.odp	3	3	1207	1207	4	4
test-data/odf/odp/tdf169979.odp	3	3	562	562	4	4
test-data/odf/odp/text-in-image.odp	3	3	1226	1226	4	4
test-data/odf/ods/grid-padding-package.ods	3	3	1146	1146	4	4
test-data/odf/odt/shape-text-in-paragraph.odt	3	3	1193	1193	4	4
test-data/odf/odt/table-cell-column-span.odt	3	3	1193	1193	4	4
test-data/odfdo/tests/samples/forms.odt	3	3	695	695	4	4
test-data/odfdo/tests/samples/simple_table_named_range.ods	3	3	1204	1204	4	4
test-data/odfdo/tests/samples/variable.odt	3	3	1204	1204	4	4
test-data/odfpy/tests/examples/simpletable.odt	3	3	1074	1074	4	4
test-data/office-interop/libreoffice-resaved/date-autofilter-litchi.xlsx	7	7	2284	2284	4	4
test-data/office-interop/libreoffice-resaved/document-properties-litchi.docx	6	6	1816	1816	4	4
test-data/office-interop/libreoffice-resaved/shapes-litchi.pptx	24	9	10052	9692	4	4
test-data/office-interop/libreoffice-resaved/tdf132924-litchi.odb	3	3	539	539	4	4
test-data/office-interop/litchi-changed/date-autofilter-litchi.xlsx	6	5	1782	1758	4	4
test-data/office-interop/litchi-changed/document-properties-litchi.docx	6	5	1958	1934	4	4
test-data/office-interop/litchi-changed/shapes-litchi.pptx	24	23	10556	10532	4	4
