run	leg	profile	case	parts	p50_ns	p95_ns	p99_ns	mean_ns	sample_count	source_read_calls	source_read_bytes	source_version_calls	source_payload_read_calls	source_payload_read_bytes	source_max_in_flight_reads	lookup_count	output_sha256	report_sha256
probe	A2	normal	opc_casefold_source_lookup	2048	144915	151901	153141	145974.6	30	0	0	144	0	0	0	144	3d124a528436b1e924dcbbd7d23040d5c258e0acf8e278113c17e447f017936a	0132873251cfe967f05496aa95de215735a4467c1618595eac77cb9dbac1b079
probe	A2	normal	opc_casefold_eager_open	16384	31792893	33547947	34391450	32013728.033333	30	-	-	-	-	-	-	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	0132873251cfe967f05496aa95de215735a4467c1618595eac77cb9dbac1b079
probe	A2	normal	opc_casefold_source_open	16384	23359126	23986944	25079209	23437548.4	30	27	1196793	4	0	0	1	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	0132873251cfe967f05496aa95de215735a4467c1618595eac77cb9dbac1b079
probe	A2	normal	opc_casefold_eager_lookup	16384	2072834	2086069	2091799	2074844.3	30	-	-	-	-	-	-	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	0132873251cfe967f05496aa95de215735a4467c1618595eac77cb9dbac1b079
probe	A2	normal	opc_casefold_source_lookup	16384	1398796	1407236	1417936	1399453.066667	30	0	0	144	0	0	0	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	0132873251cfe967f05496aa95de215735a4467c1618595eac77cb9dbac1b079
probe	A2	allocator	opc_casefold_eager_open	256	585387	592833	593952	585110.3	30	-	-	-	-	-	-	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	5c1735e0b5161a555f0182a6622b475708803bcd5155c7deed96c03bfb2a7a8d
probe	A2	allocator	opc_casefold_source_open	256	415897	419292	419802	414825.133333	30	9	19449	4	0	0	1	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	5c1735e0b5161a555f0182a6622b475708803bcd5155c7deed96c03bfb2a7a8d
probe	A2	allocator	opc_casefold_eager_lookup	256	18600	18641	18721	18603.433333	30	-	-	-	-	-	-	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	5c1735e0b5161a555f0182a6622b475708803bcd5155c7deed96c03bfb2a7a8d
probe	A2	allocator	opc_casefold_source_lookup	256	22965	24350	31190	23287.4	30	0	0	144	0	0	0	144	6a02c72a84e45623f8150e12608dfb3189b6bb903ffd0bce8e31ee897d14ae1f	5c1735e0b5161a555f0182a6622b475708803bcd5155c7deed96c03bfb2a7a8d
probe	A2	allocator	opc_casefold_eager_open	2048	4686420	4715151	4730561	4689978.4	30	-	-	-	-	-	-	0	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298	5c1735e0b5161a555f0182a6622b475708803bcd5155c7deed96c03bfb2a7a8d
