op,order,leg,rep,cycles,instructions,branch_misses,dtlb_load_misses,page_faults
eager_noprep_paragraph_count,4,rev0592,11,673882,2093204,10529,32,0
eager_noprep_paragraph_count,4,rev0592,12,1169596,2355658,-13485,-159,1
eager_noprep_paragraph_count,4,rev0592,13,747523,2067093,-1743,-140,-1
eager_noprep_paragraph_count,4,rev0592,14,1853665,2141104,-1841,199,1
eager_noprep_paragraph_count,4,rev0592,15,2400813,2152366,923,2,0
eager_noprep_paragraph_count,4,rev0592,16,1675006,2213901,3005,128,0
eager_noprep_paragraph_count,4,rev0592,17,988845,2184658,-9819,136,0
eager_noprep_paragraph_count,4,rev0592,18,-135135,2037232,-3537,-172,-1
eager_noprep_paragraph_count,4,rev0592,19,-2053427,2119115,1723,-6,1
eager_noprep_paragraph_count,4,rev0592,20,214669,2148790,4867,20,1
eager_noprep_paragraph_count,4,rev0592,21,1118644,2283579,2414,-216,-1
eager_noprep_paragraph_count,4,rev0592,22,1080243,2115643,-2698,-139,0
eager_noprep_paragraph_count,4,rev0592,23,860368,2324620,19711,316,-2
eager_noprep_paragraph_count,4,rev0592,24,876109,2222060,3723,-119,0
eager_noprep_paragraph_count,4,rev0592,25,2377721,2010011,4230,-40,0
