op,leg,reps,rep,cycles,instructions,branch_misses,dtlb_load_misses,page_faults
eager_prepared_warm_paragraph_count,rev0592,0,29,83826137,98387891,81104,75612,16598
eager_prepared_warm_paragraph_count,rev0592,1,29,81337773,100438058,81400,75668,16600
eager_prepared_warm_paragraph_count,base,0,29,80142335,96666928,78727,75444,16599
eager_prepared_warm_paragraph_count,base,1,29,86360746,98867380,80583,75622,16598
eager_prepared_warm_paragraph_count,rev0592,0,30,86816121,98257352,91902,75578,16599
eager_prepared_warm_paragraph_count,rev0592,1,30,82210979,100459878,80783,75463,16600
eager_prepared_warm_paragraph_count,base,0,30,83719788,96727865,78481,75597,16599
eager_prepared_warm_paragraph_count,base,1,30,82027984,98893064,81183,75259,16599
eager_prepared_warm_paragraph_count,rev0592,0,31,82392044,98264829,79781,75822,16598
eager_prepared_warm_paragraph_count,rev0592,1,31,81722306,100325228,83381,75707,16600
eager_prepared_warm_paragraph_count,base,0,31,82253871,96824143,79400,75766,16599
eager_prepared_warm_paragraph_count,base,1,31,83297864,99000946,83353,75908,16595
eager_prepared_warm_paragraph_count,rev0592,0,32,81225301,98187632,84888,75970,16599
eager_prepared_warm_paragraph_count,rev0592,1,32,80227675,100431541,93661,75846,16596
eager_prepared_warm_paragraph_count,base,0,32,81307399,96677235,93580,75636,16601
eager_prepared_warm_paragraph_count,base,1,32,80883686,98971915,92185,75507,16600
eager_prepared_warm_paragraph_count,rev0592,0,33,79010733,98321520,79436,75534,16597
eager_prepared_warm_paragraph_count,rev0592,1,33,79896814,100462220,101528,75660,16600
eager_prepared_warm_paragraph_count,base,0,33,79803876,96663652,79142,75633,16600
eager_prepared_warm_paragraph_count,base,1,33,79975215,98965109,82870,75666,16599
eager_prepared_warm_paragraph_count,rev0592,0,34,79411392,98288375,79793,75629,16598
eager_prepared_warm_paragraph_count,rev0592,1,34,82165004,100483202,81588,75868,16600
eager_prepared_warm_paragraph_count,base,0,34,79970291,96672736,78258,75840,16598
eager_prepared_warm_paragraph_count,base,1,34,82086480,98964464,80779,75300,16599
eager_prepared_warm_paragraph_count,rev0592,0,35,79324327,98139400,79804,75526,16599
eager_prepared_warm_paragraph_count,rev0592,1,35,81254835,100362600,81702,75652,16598
eager_prepared_warm_paragraph_count,base,0,35,79560737,96750188,83870,75860,16598
eager_prepared_warm_paragraph_count,base,1,35,79810289,98952348,80035,75868,16598
eager_prepared_warm_paragraph_count,rev0592,0,36,78613008,98212340,80151,75397,16597
eager_prepared_warm_paragraph_count,rev0592,1,36,80258366,100415276,80785,75829,16600
eager_prepared_warm_paragraph_count,base,0,36,79975373,96723807,78005,75656,16597
eager_prepared_warm_paragraph_count,base,1,36,80141678,98984133,79708,75661,16599
eager_prepared_warm_paragraph_count,rev0592,0,37,81948697,98159455,85394,75630,16600
eager_prepared_warm_paragraph_count,rev0592,1,37,80446704,100392472,83579,75740,16600
eager_prepared_warm_paragraph_count,base,0,37,79392229,96652282,79383,75523,16599
eager_prepared_warm_paragraph_count,base,1,37,79239606,98966150,85942,75859,16598
eager_prepared_warm_paragraph_count,rev0592,0,38,79669566,98335153,80021,75719,16600
eager_prepared_warm_paragraph_count,rev0592,1,38,80076802,100435973,80279,75880,16599
eager_prepared_warm_paragraph_count,base,0,38,81137270,96683128,79116,75636,16596
eager_prepared_warm_paragraph_count,base,1,38,81642590,98896688,96815,75689,16599
eager_prepared_warm_paragraph_count,rev0592,0,39,80900628,98126045,79550,75604,16598
eager_prepared_warm_paragraph_count,rev0592,1,39,81725192,100361919,79945,75572,16598
eager_prepared_warm_paragraph_count,base,0,39,79326012,96705668,78398,75596,16598
eager_prepared_warm_paragraph_count,base,1,39,79478476,98800239,79788,75655,16598
eager_prepared_warm_paragraph_count,rev0592,0,40,81207958,98247836,78853,75577,16599
eager_prepared_warm_paragraph_count,rev0592,1,40,81452748,100373046,81504,75989,16600
eager_prepared_warm_paragraph_count,base,0,40,82793377,96758220,84650,75784,16598
eager_prepared_warm_paragraph_count,base,1,40,83612185,98966600,87107,75962,16597
eager_noprep_paragraph_count,rev0592,0,1,81909509,92015199,75747,75382,16598
eager_noprep_paragraph_count,rev0592,1,1,82519782,94156706,76547,75474,16600
eager_noprep_paragraph_count,base,0,1,80698934,91944313,75507,75401,16598
eager_noprep_paragraph_count,base,1,1,79021474,94193975,81433,75738,16596
eager_noprep_paragraph_count,rev0592,0,2,80760981,91922047,76202,75668,16599
eager_noprep_paragraph_count,rev0592,1,2,80293944,94147210,82361,75596,16597
eager_noprep_paragraph_count,base,0,2,80301582,92044392,79410,75568,16598
eager_noprep_paragraph_count,base,1,2,79486463,94274626,78532,75515,16599
eager_noprep_paragraph_count,rev0592,0,3,79076919,91952892,80076,75519,16598
eager_noprep_paragraph_count,rev0592,1,3,78702933,94316963,77233,75437,16602
eager_noprep_paragraph_count,base,0,3,78142744,92099878,76763,75846,16600
