fixture	route	before_status	before_field1	before_field2	after_status	after_field1	after_field2	control_status	control_field1	control_field2	differs_raw	differs_normalized
test-data/libreoffice-core/sc/qa/unit/data/xlsx/enhanced-protection.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	1	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/enhanced-protection.xlsx	xlsx_source_backed_tab_state	OK	8483	10	OK	8483	10	OK	8483	10	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/enhancedProtectionRangeShorthand.xlsx	xlsx_edit_save	OK	5479	10	OK	5479	10	OK	5479	10	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/enhancedProtectionRangeShorthand.xlsx	xlsx_noop_save	OK	5479	10	OK	5479	10	OK	5479	10	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/enhancedProtectionRangeShorthand.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties'	1	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/enhancedProtectionRangeShorthand.xlsx	xlsx_source_backed_tab_state	OK	5479	10	OK	5479	10	OK	5479	10	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx	xlsx_edit_save	OK	8233	13	OK	8233	13	OK	8233	13	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx	xlsx_noop_save	OK	9172	14	OK	9172	14	OK	9172	14	0	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx	xlsx_source_backed_cell_values	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	ERR	Invalid("value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'")	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	1	0
test-data/libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx	xlsx_source_backed_tab_state	OK	9172	14	OK	9172	14	OK	9172	14	0	0
