# kind fixture detail eager lazy verdict
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/tdf111980_radioButtons.xlsx - 78067fa92760a582e9674148029bfd2d9088cb964d2042fbdde2e5037bc30d00:20005 78067fa92760a582e9674148029bfd2d9088cb964d2042fbdde2e5037bc30d00:20005 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/tdf120168.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/tdf120168.xlsx - 17 17 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/tdf120168.xlsx - f92e4bc58e4ff1f7858e5399cc2150ccd33364b7da0f094b43db32b8b7524a0b:15192 f92e4bc58e4ff1f7858e5399cc2150ccd33364b7da0f094b43db32b8b7524a0b:15192 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/tdf120168.xlsx - f92e4bc58e4ff1f7858e5399cc2150ccd33364b7da0f094b43db32b8b7524a0b:15192 f92e4bc58e4ff1f7858e5399cc2150ccd33364b7da0f094b43db32b8b7524a0b:15192 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/tdf134455.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/tdf134455.xlsx - 8 8 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/tdf134455.xlsx - 8c11bcd48ca97ac96a086df242ee3d5d822402fa011331e4133ff7081a3d2564:5288 8c11bcd48ca97ac96a086df242ee3d5d822402fa011331e4133ff7081a3d2564:5288 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/tdf134455.xlsx - 8c11bcd48ca97ac96a086df242ee3d5d822402fa011331e4133ff7081a3d2564:5288 8c11bcd48ca97ac96a086df242ee3d5d822402fa011331e4133ff7081a3d2564:5288 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/tdf134459_HeaderFooterColor.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/tdf134459_HeaderFooterColor.xlsx - 9 9 MATCH
opc-noop libreoffice-core/sc/qa/unit/data/xlsx/tdf134459_HeaderFooterColor.xlsx - a54981b736aa27d4783a7d4ba33a124bbc23d7a9d0ce355fa3492b1e39b998c2:9421 a54981b736aa27d4783a7d4ba33a124bbc23d7a9d0ce355fa3492b1e39b998c2:9421 MATCH
opc-reblob libreoffice-core/sc/qa/unit/data/xlsx/tdf134459_HeaderFooterColor.xlsx - a54981b736aa27d4783a7d4ba33a124bbc23d7a9d0ce355fa3492b1e39b998c2:9421 a54981b736aa27d4783a7d4ba33a124bbc23d7a9d0ce355fa3492b1e39b998c2:9421 MATCH
open libreoffice-core/sc/qa/unit/data/xlsx/tdf136721_letter_sized_paper.xlsx - ok ok MATCH
parts libreoffice-core/sc/qa/unit/data/xlsx/tdf136721_letter_sized_paper.xlsx - 11 11 MATCH
